Index Name,Date (AD),Index Value,Absolute Change,Percentage Change
NEPSE,2021/06/09,"2,946.58",-13.56,-0.4582%
NEPSE,2021/06/08,"2,960.14",53.44,1.8386%
NEPSE,2021/06/07,"2,906.70",-0.21,-0.0072%
NEPSE,2021/06/06,"2,906.89",50.13,1.7547%
NEPSE,2021/06/03,"2,856.68",29.55,1.0452%
NEPSE,2021/06/02,"2,827.13",55.76,2.0121%
NEPSE,2021/06/01,"2,771.15",-11.68,-0.4198%
NEPSE,2021/05/31,"2,782.69",-45.25,-1.6001%
NEPSE,2021/05/30,"2,827.93",12.54,0.4453%
NEPSE,2021/05/27,"2,815.40",-1.20,-0.0426%
NEPSE,2021/05/25,"2,816.57",-6.50,-0.2302%
NEPSE,2021/05/24,"2,823.07",3.07,0.1087%
NEPSE,2021/05/23,"2,820.00",32.81,1.1773%
NEPSE,2021/05/20,"2,787.19",6.37,0.2292%
NEPSE,2021/05/19,"2,780.81",-13.09,-0.4684%
NEPSE,2021/05/18,"2,793.90",34.68,1.257%
NEPSE,2021/05/17,"2,759.22",20.71,0.7564%
NEPSE,2021/05/16,"2,738.30",54.21,2.0198%
NEPSE,2021/05/13,"2,684.01",10.13,0.3788%
NEPSE,2021/05/12,"2,673.88",0.56,0.0211%
NEPSE,2021/05/11,"2,673.32",27.47,1.0383%
NEPSE,2021/05/10,"2,645.85",27.41,1.0468%
NEPSE,2021/05/09,"2,618.57",-18.56,-0.7039%
NEPSE,2021/05/06,"2,637.13",-12.47,-0.4705%
NEPSE,2021/05/05,"2,649.60",-5.09,-0.1919%
NEPSE,2021/05/04,"2,654.69",1.94,0.0733%
NEPSE,2021/05/03,"2,652.76",-12.35,-0.4634%
NEPSE,2021/05/02,"2,665.11",54.00,2.0679%
NEPSE,2021/04/29,"2,611.11",25.82,0.9989%
NEPSE,2021/04/28,"2,585.28",-13.79,-0.5307%
NEPSE,2021/04/27,"2,599.08",92.46,3.6885%
NEPSE,2021/04/26,"2,506.62",-65.58,-2.5496%
NEPSE,2021/04/25,"2,572.22",-75.79,-2.862%
NEPSE,2021/04/22,"2,648.01",15.80,0.6002%
NEPSE,2021/04/21,"2,632.21",-32.41,-1.2163%
NEPSE,2021/04/20,"2,664.62",2.68,0.1007%
NEPSE,2021/04/19,"2,661.94",-37.58,-1.3919%
NEPSE,2021/04/18,"2,699.51",-35.89,-1.3119%
NEPSE,2021/04/15,"2,735.46",20.67,0.7614%
NEPSE,2021/04/13,"2,714.79",23.23,0.8632%
NEPSE,2021/04/12,"2,691.56",17.20,0.6431%
NEPSE,2021/04/08,"2,674.36",2.74,0.1026%
NEPSE,2021/04/07,"2,671.62",-2.85,-0.1067%
NEPSE,2021/04/06,"2,674.47",15.72,0.5914%
NEPSE,2021/04/05,"2,658.75",1.13,0.0426%
NEPSE,2021/04/04,"2,657.61",25.71,0.977%
NEPSE,2021/04/01,"2,631.90",12.88,0.4916%
NEPSE,2021/03/31,"2,619.03",43.36,1.6834%
NEPSE,2021/03/30,"2,575.67",32.15,1.2639%
NEPSE,2021/03/29,"2,543.52",-5.45,-0.2137%
NEPSE,2021/03/25,"2,548.97",-21.29,-0.8283%
NEPSE,2021/03/24,"2,570.26",41.30,1.6331%
NEPSE,2021/03/23,"2,528.96",14.57,0.5793%
NEPSE,2021/03/22,"2,514.39",-24.08,-0.9485%
NEPSE,2021/03/21,"2,538.47",63.38,2.5605%
NEPSE,2021/03/18,"2,475.09",42.95,1.7658%
NEPSE,2021/03/17,"2,432.15",40.40,1.6891%
NEPSE,2021/03/16,"2,391.75",2.56,0.107%
NEPSE,2021/03/15,"2,389.19",-18.07,-0.7505%
NEPSE,2021/03/14,"2,407.26",-51.23,-2.0837%
